airport_identifier,airport_size,airport_name,elevation_ft,continent,country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
03N,small_airport,Utirik Airport,4.0,OC,MH,MH-UTI,Utirik Island,K03N,UTK,03N,"169.852005, 11.222"
07FA,small_airport,Ocean Reef Club Airport,8.0,NA,US,US-FL,Key Largo,07FA,OCA,07FA,"-80.274803161621, 25.325399398804"
0AK,small_airport,Pilot Station Airport,305.0,NA,US,US-AK,Pilot Station,,PQS,0AK,"-162.899994, 61.934601"
0CO2,small_airport,Crested Butte Airpark,8980.0,NA,US,US-CO,Crested Butte,0CO2,CSE,0CO2,"-106.928341, 38.851918"
0TE7,small_airport,LBJ Ranch Airport,1515.0,NA,US,US-TX,Johnson City,0TE7,JCY,0TE7,"-98.62249755859999, 30.251800537100003"
13MA,small_airport,Metropolitan Airport,418.0,NA,US,US-MA,Palmer,13MA,PMX,13MA,"-72.31140136719999, 42.223300933800004"
16A,small_airport,Nunapitchuk Airport,12.0,NA,US,US-AK,Nunapitchuk,PPIT,NUP,16A,"-162.440454, 60.905591"
19AK,small_airport,Icy Bay Airport,50.0,NA,US,US-AK,Icy Bay,19AK,ICY,19AK,"-141.662002563, 59.96900177"
1KC,small_airport,Kalakaket Creek AS Airport,1598.0,NA,US,US-AK,Kalakaket Creek,1KC,KKK,1KC,"-156.820392609, 64.4166256967"
1O6,small_airport,Dunsmuir Muni-Mott Airport,3258.0,NA,US,US-CA,Dunsmuir,KMHS,MHS,1O6,"-122.272003, 41.263199"
1Z1,small_airport,Grand Canyon Bar Ten Airstrip,4100.0,NA,US,US-AZ,Whitmore,,GCT,1Z1,"-113.231003, 36.259701"
2AK,small_airport,Lime Village Airport,552.0,NA,US,US-AK,Lime Village,2AK,LVD,2AK,"-155.440002441, 61.3591003418"
2AK6,small_airport,Hog River Airport,534.0,NA,US,US-AK,Hogatza,2AK6,HGZ,2AK6,"-155.6690063, 66.2161026"
2IG4,small_airport,Ed-Air Airport,426.0,NA,US,US-IN,Oaktown,I20,OTN,I20,"-87.4997024536, 38.851398468"
2K5,small_airport,Telida Airport,650.0,NA,US,US-AK,Telida,2K5,TLF,2K5,"-153.26899719238, 63.393901824951"
2TE0,small_airport,Eagle Air Park,15.0,NA,US,US-TX,Brazoria,2TE0,BZT,2TE0,"-95.579696655273, 28.982200622559"
38WA,small_airport,Blakely Island Airport,66.0,NA,US,US-WA,Blakely Island,38WA,BYW,38WA,"-122.825996399, 48.578998565700005"
3AK5,small_airport,Drift River Airport,30.0,NA,US,US-AK,Kenai,3AK5,DRF,3AK5,"-152.162002563, 60.588901519800004"
3IS8,small_airport,Rinkenberger Restricted Landing Area,808.0,NA,US,US-IL,Bradford,3IS8,BDF,3IS8,"-89.61569976810001, 41.230899810800004"
3VS,small_airport,Roy Otten Memorial Airfield,1030.0,NA,US,US-MO,Versailles,3VS,VRS,3VS,"-92.875198364258, 38.427799224854"
4A2,small_airport,Atmautluak Airport,17.0,NA,US,US-AK,Atmautluak,,ATT,4A2,"-162.272995, 60.866699"
4AK,small_airport,Livengood Camp Airport,425.0,NA,US,US-AK,Livengood,4AK,LIV,4AK,"-148.6534, 65.467"
4K0,small_airport,Pedro Bay Airport,45.0,NA,US,US-AK,Pedro Bay,4K0,PDB,4K0,"-154.12399292, 59.7896003723"
4K5,small_airport,Ouzinkie Airport,55.0,NA,US,US-AK,Ouzinkie,,KOZ,4K5,"-152.496715, 57.925362"
4KA,small_airport,Tununak Airport,14.0,NA,US,US-AK,Tununak,4KA,TNK,4KA,"-165.27200317383, 60.575500488281"
5A8,medium_airport,Aleknagik / New Airport,66.0,NA,US,US-AK,Aleknagik,5A8,WKK,5A8,"-158.617996216, 59.2826004028"
5NK,small_airport,Naknek Airport,70.0,NA,US,US-AK,Naknek,5NK,NNK,5NK,"-157.02000427246, 58.732898712158"
65LA,small_airport,Southern Seaplane Airport,,NA,US,US-LA,Belle Chasse,65LA,BCS,65LA,"-90.0222015381, 29.8661003113"
6OK6,small_airport,Earl Henry Airport,1054.0,NA,US,US-OK,Blackwell,6OK6,BWL,6OK6,"-97.3170013428, 36.7958984375"
78WA,small_airport,Center Island Airport,115.0,NA,US,US-WA,Center Island,78WA,CWS,78WA,"-122.832000732, 48.4901008606"
7KA,small_airport,Tatitlek Airport,62.0,NA,US,US-AK,Tatitlek,PAKA,TEK,7KA,"-146.690297, 60.871449"
7NC2,small_airport,Pine Island Airport,16.0,NA,US,US-NC,Corolla,7NC2,DUF,7NC2,"-75.7884979248, 36.2535018921"
7WA5,small_airport,Stuart Island Airpark,10.0,NA,US,US-WA,Stuart Island,7WA5,SSW,7WA5,"-123.17600250244, 48.672901153564"
82CL,small_airport,Fort Bragg Airport,71.0,NA,US,US-CA,Fort Bragg,82CL,FOB,82CL,"-123.79599762, 39.4743003845"
89NY,small_airport,Maxson Airfield,340.0,NA,US,US-NY,Alexandria Bay,89NY,AXB,89NY,"-75.90034, 44.312002"
8XS8,small_airport,Reese Airpark,3338.0,NA,US,US-TX,Lubbock,8XS8,REE,8XS8,"-102.03700256348, 33.590301513672"
90WA,small_airport,Waldronaire Airport,140.0,NA,US,US-WA,East Sound,90WA,WDN,90WA,"-123.017997742, 48.7117996216"
9A3,small_airport,Chuathbaluk Airport,244.0,NA,US,US-AK,Chuathbaluk,PACH,CHU,9A3,"-159.216003, 61.579102"
9A8,small_airport,Ugashik Airport,25.0,NA,US,US-AK,Ugashik,9A8,UGS,9A8,"-157.399002075, 57.5279006958"
9Z8,small_airport,Levelock Airport,39.0,NA,US,US-AK,Levelock,9Z8,KLL,9Z8,"-156.85899353, 59.128101348899996"
A61,small_airport,Tuntutuliak Airport,16.0,NA,US,US-AK,Tuntutuliak,A61,WTL,A61,"-162.667007446, 60.3353004456"
A63,small_airport,Twin Hills Airport,82.0,NA,US,US-AK,Twin Hills,A63,TWA,A63,"-160.27299499512, 59.07559967041"
A79,small_airport,Chignik Lake Airport,50.0,NA,US,US-AK,Chignik Lake,A79,KCQ,A79,"-158.774993896, 56.2550010681"
AAD,small_airport,Adado Airport,1001.0,AF,SO,SO-GA,Adado,,AAD,,"46.6375, 6.095802"
ABP,small_airport,Atkamba Airport,150.0,OC,PG,PG-WPD,Atkamba Mission,,ABP,AKA,"141.095277778, -6.0655555555600005"
ADC,small_airport,Andakombe Airport,3600.0,OC,PG,PG-EHG,Andekombe,AYAN,ADC,ADK,"145.744722222, -7.13722222222"
ADV,small_airport,El Daein Airport,1560.0,AF,SD,SD-DE,El Daein,,ADV,,"26.1186, 11.4023"
AEE,small_airport,Adareil Airport,1301.0,AF,SS,SS-23,,,AEE,,"32.9594444444, 10.0536111111"
AEK,small_airport,Aseki Airport,4106.0,OC,PG,PG-MPL,Aseki,AYAX,AEK,ASE,"146.19386673, -7.35080485552"
AEQ,small_airport,Ar Horqin Airport,1335.0,AS,CN,CN-15,Chifeng,,AEQ,,"120.15958, 43.87042"
AF10,small_airport,OrÅ«zgÄn Airport,6725.0,AS,AF,AF-ORU,OrÅ«zgÄn,OARG,URZ,,"66.630897522, 32.9029998779"
AF11,small_airport,Salerno Landing Zone Airport,3780.0,AS,AF,AF-PIA,,,OLR,,"69.9561004639, 33.363800048799995"
AFR,small_airport,Afore Airstrip,2500.0,OC,PG,PG-NPP,,AYAF,AFR,AFE,"148.390833333, -9.142222222220001"
AGAF,small_airport,Afutara Aerodrome,23.0,OC,SB,SB-ML,Bila,AGAF,AFT,,"160.948611111, -9.19138888889"
AGAR,small_airport,Ulawa Airport,40.0,OC,SB,SB-MK,Arona,AGAR,RNA,,"161.979546547, -9.86054358262"
AGAT,small_airport,Uru Harbour Airport,,OC,SB,SB-ML,Atoifi,AGAT,ATD,,"161.011002, -8.87333"
AGBA,small_airport,Barakoma Airport,,OC,SB,SB-WE,Barakoma,AGBA,VEV,,"156.70599365234375, -7.912779808044434"
AGEV,small_airport,Geva Airport,,OC,SB,SB-WE,Liangia,AGEV,GEF,,"156.5970001220703, -7.575829982757568"
AGG,small_airport,Angoram Airport,75.0,OC,PG,PG-ESW,Angoram,,AGG,ANG,"144.073888889, -4.05583333333"
AGGA,small_airport,Gwaunaru'u Airport,5.0,OC,SB,SB-ML,Auki,AGGA,AKS,,"160.682007, -8.70257"
AGGB,small_airport,Bellona/Anua Airport,60.0,OC,SB,SB-RB,Anua,AGGB,BNY,,"159.798333333, -11.302222222200001"
AGGC,small_airport,Choiseul Bay Airport,,OC,SB,SB-CH,,AGGC,CHY,,"156.396111, -6.711944"
AGGE,small_airport,Ballalae Airport,5.0,OC,SB,SB-WE,Ballalae,AGGE,BAS,,"155.886656, -6.990745"
AGGF,small_airport,Fera/Maringe Airport,,OC,SB,SB-IS,Fera Island,AGGF,FRE,,"159.576996, -8.1075"
AGGH,medium_airport,Honiara International Airport,28.0,OC,SB,SB-CT,Honiara,AGGH,HIR,,"160.05499267578, -9.4280004501343"
AGGI,small_airport,Babanakira Airport,,OC,SB,SB-GU,Mbambanakira,AGGI,MBU,,"159.83900451660156, -9.7475004196167"
AGGJ,small_airport,Avu Avu Airport,25.0,OC,SB,SB-GU,,AGGJ,AVU,,"160.410555556, -9.86833333333"
AGGK,small_airport,Ngorangora Airport,54.0,OC,SB,SB-MK,Kirakira,AGGK,IRA,,"161.897994995, -10.449700355500001"
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,18.0,OC,SB,SB-TE,Santa Cruz/Graciosa Bay/Luova,AGGL,SCZ,,"165.7949981689453, -10.72029972076416"
AGGM,medium_airport,Munda Airport,10.0,OC,SB,SB-WE,,AGGM,MUA,,"157.26300048828125, -8.327969551086426"
AGGN,small_airport,Nusatupe Airport,13.0,OC,SB,SB-WE,Gizo,AGGN,GZO,,"156.863998413, -8.09778022766"
AGGO,small_airport,Mono Airport,,OC,SB,SB-WE,Stirling Island,AGGO,MNY,,"155.56500244140625, -7.416940212249756"
AGGP,small_airport,Parasi Airport,,OC,SB,SB-ML,Parasi,AGGP,PRS,,"161.4250030517578, -9.641670227050781"
AGGR,small_airport,Rennell/Tingoa Airport,,OC,SB,SB-RB,Rennell Island,AGGR,RNL,,"160.06300354003906, -11.533900260925293"
AGGS,small_airport,Sege Airport,,OC,SB,SB-WE,Sege,AGGS,EGM,,"157.87600708007812, -8.578889846801758"
AGGT,small_airport,Santa Ana Airport,3.0,OC,SB,SB-MK,Santa Ana Island,AGGT,NNB,,"162.454108, -10.847994"
AGGU,small_airport,Marau Airport,,OC,SB,SB-GU,Marau,AGGU,RUS,,"160.824996948, -9.861669540409999"
AGGV,small_airport,Suavanao Airport,,OC,SB,SB-IS,Suavanao,AGGV,VAO,,"158.7310028076172, -7.585559844970703"
AGGY,small_airport,Yandina Airport,60.0,OC,SB,SB-CE,Yandina,AGGY,XYA,,"159.21841, -9.092816"
AGK,small_airport,Kagua Airport,5350.0,OC,PG,PG-SHM,Kagua,,AGK,,"143.853611111, -6.396388888890001"
AGKG,small_airport,Kaghau Airport,30.0,OC,SB,SB-CH,Kagau Island,AGKG,KGE,,"157.585, -7.3305"
AGKU,small_airport,Kukudu Airport,32.0,OC,SB,SB-WE,Kolombangara Island,AGKU,KUE,,"156.94783, -8.0262"
AGKW,small_airport,Kwailabesi Airport,52.0,OC,SB,SB-ML,Kwailabesi,AGKW,KWS,,"160.775127, -8.360508"
AGL,small_airport,Wanigela Airport,53.0,OC,PG,PG-NPP,,AYWG,AGL,WGL,"149.155555556, -9.3375"
AGNA,small_airport,Nana Airport,60.0,OC,SB,SB-MK,Star Harbor,AGNA,NAZ,,"162.2049, -10.6758"
AGRC,small_airport,Ringi Cove Airport,,OC,SB,SB-WE,Ringi Cove,AGRC,RIN,,"157.14300537109375, -8.12639045715332"
AGRM,small_airport,Ramata Airport,,OC,SB,SB-WE,Ramata,AGRM,RBV,,"157.64300537109375, -8.168060302734375"
AGY,small_airport,Argyle Downs Airport,407.0,OC,AU,AU-WA,Argyle Downs,,AGY,,"128.9245, -16.514"
AHJ,medium_airport,Hongyuan Airport,11600.0,AS,CN,CN-51,Aba,ZUHY,AHJ,,"102.35224, 32.53154"
AHY,small_airport,Ambatolhy Airport,340.0,AF,MG,MG-U,Ambatolahy,,AHY,,"45.535, -20.015833333299998"
AIE,small_airport,Aiome Airport,350.0,OC,PG,PG-MPM,Aiome,AYAO,AIE,AIO,"144.7307003, -5.145699978"
AIH,small_airport,Aiambak Airport,90.0,OC,PG,PG-WPD,Aiambak,AYAK,AIH,AMB,"141.2675, -7.342777777779999"
AIP,small_airport,Ailinglaplap Airok Airport,16.0,OC,MH,MH-ALL,Bigatyelang Island,,AIC,,"168.8257, 7.279422"
AK13,small_airport,Chena Hot Springs Airport,1195.0,NA,US,US-AK,Chena Hot Springs,AK13,CEX,AK13,"-146.04699707, 65.0518035889"
AK26,small_airport,Solomon State Field,25.0,NA,US,US-AK,Solomon,AK26,SOL,AK26,"-164.4457, 64.5605"
AK33,small_airport,Herendeen Bay Airport,20.0,NA,US,US-AK,Herendeen Bay,AK33,HED,AK33,"-160.899002075, 55.801399231"
AK49,small_airport,Taylor Airport,440.0,NA,US,US-AK,Taylor,AK49,TWE,AK49,"-164.798995972, 65.6792984009"
AK71,small_airport,Lonely Air Station,17.0,NA,US,US-AK,Lonely,PALN,LNI,AK71,"-153.2420044, 70.91069794"
AK75,small_airport,Candle 2 Airport,15.0,NA,US,US-AK,Candle,AK75,CDL,AK75,"-161.925994873, 65.907699585"
AK96,small_airport,Bartletts Airport,50.0,NA,US,US-AK,Egegik,AK96,BSZ,AK96,"-157.352005005, 58.2162017822"
AK97,small_airport,Boswell Bay Airport,230.0,NA,US,US-AK,Boswell Bay,AK97,BSW,AK97,"-146.145996094, 60.4230995178"
AKM,small_airport,Zakuoma Airport,1370.0,AF,TD,TD-SA,ZaKouma,,AKM,,"19.8172222222, 10.8902777778"
AL73,small_airport,Sharpe Field,253.0,NA,US,US-AL,Tuskegee,AL73,TGE,AL73,"-85.7755966187, 32.4919013977"
AMC,small_airport,Mar de CortÃ©s International Airport,71.0,NA,MX,MX-SON,Puerto PeÃ±asco,MMPE,PPE,83550,"-113.305177, 31.351987"
AME,small_airport,Alto Molocue Airport,1950.0,AF,MZ,MZ-Q,Alto Molocue,,AME,,"37.6813888889, -15.6102777778"
AMF,small_airport,Ama Airport,145.0,OC,PG,PG-ESW,,AYAA,AMF,AMA,"141.67, -4.10111111111"
AMU,small_airport,Amanab Airport,1307.0,OC,PG,PG-SAN,Amanab,AYAM,AMU,ANA,"141.214333333, -3.586"
AMY,small_airport,Ambatomainty Airport,1025.0,AF,MG,MG-M,,,AMY,,"45.623888888900005, -17.6866666667"
ANYN,medium_airport,Nauru International Airport,22.0,OC,NR,NR-14,Yaren District,ANYN,INU,,"166.919006, -0.547458"
ANZ,small_airport,Angus Downs Airport,1724.0,OC,AU,AU-NT,Angus Downs Station,,ANZ,,"132.2748, -25.0325"
AO-0005,small_airport,Andulo Airport,,AF,AO,AO-BIE,,,ANL,,"16.710899353, -11.472299575800001"
AO-CNZ,small_airport,Cangamba Airport,3894.0,AF,AO,AO-MOX,Cangamba,,CNZ,,"19.861099, -13.7106"
AO-DRC,small_airport,Dirico Airport,3504.0,AF,AO,AO-CCU,Dirico,,DRC,,"20.7680606842041, -17.981924057006836"
AO-GGC,small_airport,Lumbala Airport,3510.0,AF,AO,AO-MOX,Lumbala,,GGC,,"22.5868206024, -12.6398773193"
AO-JMB,small_airport,Jamba Airport,4912.0,AF,AO,AO-HUA,Jamba,,JMB,,"16.070148468017578, -14.698192596435547"
AO-KNP,small_airport,Capanda Airport,3366.0,AF,AO,AO-MAL,Capanda,FNCP,KNP,,"15.4553194046, -9.76937007904"
AO-NDF,small_airport,Ndalatandos Airport,2684.0,AF,AO,AO-CNO,Ndalatandos,,NDF,,"14.977242469787598, -9.275188446044922"
AOB,small_airport,Annanberg Airport,130.0,OC,PG,PG-MPM,,,AOB,ANB,"144.635833333, -4.90416666667"
AOD,small_airport,Abou-DeÃ¯a Airport,1592.0,AF,TD,TD-SA,Abou-DeÃ¯a,,AOD,,"19.2874, 11.4773"
APP,small_airport,Asapa Airport,1930.0,OC,PG,PG-NPP,,,APP,APA,"148.103611111, -8.97916666667"
APR,small_airport,April River Airport,220.0,OC,PG,PG-ESW,April River,AYPE,APR,APR,"142.540138889, -4.67666666667"
AQY,small_airport,Girdwood Airport,150.0,NA,US,US-AK,Girdwood,,AQY,AQY,"-149.126007, 60.966099"
AR-0005,small_airport,Bragado Airport,196.0,SA,AR,AR-B,Bragado,,QRF,BRA,"-60.4803, -35.144"
AR-0007,small_airport,Caleta Olivia Airport,37.0,SA,AR,AR-Z,Caleta Olivia,,CVI,CAO,"-67.5186004639, -46.4318008423"
AR-0009,small_airport,Charata Airport,318.0,SA,AR,AR-H,Charata,,CNT,CHA,"-61.2103, -27.2164"
AR-0010,small_airport,General Villegas Airport,383.0,SA,AR,AR-B,General Villegas,,VGS,GAS,"-63, -35"
AR-0011,small_airport,Los Menucos Airport,2571.0,SA,AR,AR-R,Los Menucos,,LMD,MCO,"-68.074699, -40.817699"
AR-0017,small_airport,Valcheta Airport,629.0,SA,AR,AR-R,Valcheta,,VCF,VAL,"-66.1500015259, -40.7000007629"
AR-0346,small_airport,Sunchales Aeroclub Airport,311.0,SA,AR,AR-S,Sunchales,SAFS,NCJ,SCA,"-61.5283, -30.9575"
AR-0390,small_airport,Carmen De Patagones Airport,131.0,SA,AR,AR-B,Carmen de Patagones,,CPG,PAT,"-62.9803, -40.7781"
AR-0462,small_airport,Termal Airport,308.0,SA,AR,AR-H,Presidencia Roque SÃ¡enz PeÃ±a,SARS,PRQ,PSP,"-60.492222, -26.753611"
AR-0494,small_airport,Colonia Sarmiento Airport,877.0,SA,AR,AR-U,Sarmiento,,OLN,STO,"-68.999841, -45.582371"
ARP,small_airport,Aragip Airport,1750.0,OC,PG,PG-MBA,,,ARP,AGP,"149.483333333, -9.88333333333"
AS-TAV,small_airport,Tau Airport,185.0,OC,AS,AS-U-A,Tau Village,,TAV,HI36,"-169.511001587, -14.2292003632"
ASZ,small_airport,Asirim Airport,1050.0,OC,PG,PG-WBK,,,ASZ,ASM,"150.368611111, -6.009722222220001"
ATN,small_airport,Namatanai Airport,150.0,OC,PG,PG-NIK,Namatanai,AYNX,ATN,NTI,"152.438, -3.6695"
ATP,small_airport,Aitape Airport,10.0,OC,PG,PG-SAN,Aitape,AYAI,ATP,APE,"142.346805556, -3.1436111111100002"
AU-0081,small_airport,Lady Elliot Island Airstrip,20.0,OC,AU,AU-QLD,Lady Elliot Island,,LYT,,"152.7156, -24.1129"
AU-AGW,small_airport,Agnew Airport,,OC,AU,AU-QLD,Agnew,,AGW,,"142.1490020751953, -12.145600318908691"
AU-AYD,small_airport,Alroy Downs Airport,,OC,AU,AU-NT,Alroy Downs,,AYD,,"136.07899475097656, -19.290800094604492"
AU-BYX,small_airport,Baniyala Airport,20.0,OC,AU,AU-NT,Baniyala,,BYX,,"136.227005005, -13.19810009"
AU-COB,small_airport,Coolibah Airport,,OC,AU,AU-NT,Coolibah,,COB,,"130.96200561523438, -15.548299789428711"
AU-CRJ,small_airport,Coorabie Airport,,OC,AU,AU-SA,Coorabie,,CRJ,,"132.29600524902344, -31.894399642944336"
AU-CRY,small_airport,Carlton Hill Airport,,OC,AU,AU-WA,Carlton Hill,,CRY,,"128.53399658203125, -15.501899719238281"
AU-CSD,small_airport,Cresswell Downs Airport,,OC,AU,AU-NT,Cresswell Downs,,CSD,,"135.91600036621094, -17.947999954223633"
AU-DYM,small_airport,Diamantina Lakes Airport,,OC,AU,AU-QLD,Diamantina Lakes,,DYM,,"141.14500427246094, -23.761699676513672"
AU-HLV,small_airport,Helenvale Airport,,OC,AU,AU-QLD,Helenvale,,HLV,,"145.21499633789062, -15.685799598693848"
AU-KBD,small_airport,Kimberley Downs Airport,,OC,AU,AU-WA,Kimberley Downs,,KBD,,"124.3550033569336, -17.39780044555664"
AU-KGR,small_airport,Kulgera Airport,,OC,AU,AU-NT,Kulgera,,KGR,,"133.29200744628906, -25.84280014038086"
AU-MWY,small_airport,Miranda Downs Airport,,OC,AU,AU-QLD,Miranda Downs,YMIR,MWY,,"141.886002, -17.328899"
AU-MYO,small_airport,Camballin Airport,,OC,AU,AU-WA,Myroodah,,MYO,,"124.27200317382812, -18.12470054626465"
AU-OKB,small_airport,Orchid Beach Airport,71.0,OC,AU,AU-QLD,Orchid Beach,YORC,OKB,YORC,"153.31500244141, -24.959400177002"
AU-PEP,small_airport,Peppimenarti Airport,83.0,OC,AU,AU-NT,Peppimenarti,,PEP,YPEP,"130.091003418, -14.144200325"
AU-RDA,small_airport,Rockhampton Downs Airport,,OC,AU,AU-NT,Rockhampton Downs,,RDA,,"135.2010040283203, -18.95330047607422"
AU-SSK,small_airport,Sturt Creek Airport,,OC,AU,AU-WA,Sturt Creek,,SSK,,"128.1739959716797, -19.166400909423828"
AU-SWB,small_airport,Shaw River Airport,,OC,AU,AU-WA,Shaw River,,SWB,,"119.36199951171875, -21.510299682617188"
AU-TPR,small_airport,Tom Price Airport,2300.0,OC,AU,AU-WA,Tom Price,YTMP,TPR,,"117.869003296, -22.746000289900003"
AU-TWP,small_airport,Torwood Airport,,OC,AU,AU-QLD,Torwood,,TWP,,"143.75, -17.363300323486328"
AU-ZVG,small_airport,Springvale Airport,,OC,AU,AU-WA,Springvale,,ZVG,,"127.66999816894531, -17.78689956665039"
AUI,small_airport,Aua Island Airport,4.0,OC,PG,PG-MRL,Aua Island,AYND,AUI,AUA,"143.064722222, -1.46055555556"
AUJ,small_airport,Ambunti Airport,50.0,OC,PG,PG-ESW,Ambunti,AYAT,AUJ,AMI,"142.823166667, -4.21566666667"
AUP,small_airport,Agaun Airport,3200.0,OC,PG,PG-MBA,,AYAG,AUP,AUN,"149.385667, -9.930833"
AUV,small_airport,Aumo Airport,450.0,OC,PG,PG-WBK,Aumo,AYUM,AUV,AUMO,"148.445277778, -5.731111111110001"
AWE,small_airport,Alowe Airport,600.0,AF,GA,GA-3,Wonga WonguÃ© Presidential Reserve,FOGW,AWE,,"9.444, -0.545"
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,4560.0,AS,CN,CN-15,Bayanhot,ZBAL,AXF,,"105.58858, 38.74831"
AYAQ,small_airport,Kompiam Airport,5100.0,OC,PG,PG-EPW,,AYAQ,KPM,KOM,"143.924722222, -5.38166666667"
AYBK,medium_airport,Buka Airport,11.0,OC,PG,PG-NSB,Buka Island,AYBK,BUA,,"154.67300415039062, -5.4223198890686035"
AYBR,small_airport,Biaru Airport,4900.0,OC,PG,PG-MPL,Biaru,AYBR,BRP,BRU,"146.7594, -7.6693"
AYCH,medium_airport,Chimbu Airport,4974.0,OC,PG,PG-CPK,Kundiawa,AYCH,CMU,,"144.9709930419922, -6.024290084838867"
AYDK,small_airport,Munduku Airport,100.0,OC,PG,PG-ESW,Munduku,AYDK,MDM,MUN,"143.4516, -4.6204"
AYDL,small_airport,Kondobol Airport,132.0,OC,PG,PG-WPD,Kondobol,AYDL,KPF,KDB,"142.5049, -8.5336"
AYDN,small_airport,Dinangat Airport,5309.0,OC,PG,PG-MPL,Dinangat,AYDN,DNU,DIN,"146.6772, -6.1546"
AYDO,small_airport,Doini Airport,31.0,OC,PG,PG-MBA,Castori Islets,AYDO,DOI,DOI,"150.7218, -10.7009"
AYDU,medium_airport,Daru Airport,20.0,OC,PG,PG-WPD,Daru,AYDU,DAU,,"143.207992554, -9.08675956726"
AYEB,small_airport,Embessa Airport,131.0,OC,PG,PG-NPP,Embessa,AYEB,EMS,EMB,"148.7628, -9.447"
AYED,small_airport,Edwaki Airport,190.0,OC,PG,PG-SAN,Yellow River Mission,AYED,XYR,EWK,"141.792234, -3.883986"
AYEL,small_airport,Eliptamin Airport,4825.0,OC,PG,PG-SAN,Eliptamin,AYEL,EPT,ELP,"141.6779, -5.0412"
AYEN,small_airport,Engati Airstrip,3715.0,OC,PG,PG-MPL,Engati,AYEN,EGA,EGT,"146.1053, -6.9179"
AYEO,small_airport,Emo River Airstrip,2240.0,OC,PG,PG-NPP,Emo Mission,AYEO,EMO,EMO,"148.0415, -9.1234"
AYER,small_airport,Erume Airport,6690.0,OC,PG,PG-CPM,Erume,AYER,ERU,EME,"146.9747, -8.2538"
AYES,small_airport,Meselia Airport,180.0,OC,PG,PG-WBK,Demgulu,AYES,MFZ,,"149.1183, -6.1364"
AYFE,small_airport,Feramin Airport,4655.0,OC,PG,PG-SAN,Feramin,AYFE,FRQ,FMN,"141.6988, -5.208"
AYFR,small_airport,Frieda River Airport,217.0,OC,PG,PG-ESW,Frieda River,AYFR,FAQ,FRR,"141.960138, -4.610468"
AYFU,small_airport,Fuma Airport,466.0,OC,PG,PG-WPD,Fuma,AYFU,FUM,FUMA,"142.4408, -6.3933"
AYGA,medium_airport,Goroka Airport,5282.0,OC,PG,PG-EHG,Goronka,AYGA,GKA,,"145.391998291, -6.081689834590001"
AYGF,small_airport,Guari Airport,6450.0,OC,PG,PG-CPM,Guari,AYGF,GUG,GAI,"146.8722, -8.1286"
AYGG,small_airport,Garasa Airport,2539.0,OC,PG,PG-MPL,Au,AYGG,GRL,GSA,"147.213461, -7.980713"
AYGN,medium_airport,Gurney Airport,88.0,OC,PG,PG-MBA,Gurney,AYGN,GUR,,"150.333999634, -10.3114995956"
AYGP,small_airport,Gusap Airport,1504.0,OC,PG,PG-GPK,Gusap,AYGP,GAP,GSP,"145.959047, -6.053196"
AYGR,medium_airport,Girua Airport,311.0,OC,PG,PG-NPP,Popondetta,AYGR,PNP,,"148.309005737, -8.80453968048"
AYGS,small_airport,Gasuke Airport,157.0,OC,PG,PG-WPD,Gasuke,AYGS,GBC,GSK,"141.7393, -6.1028"
AYHB,small_airport,Habi Airport,993.0,OC,PG,PG-WPD,Habi,AYHB,HBD,HABI,"142.4893, -6.32"
AYHE,small_airport,Heiweni Airport,3480.0,OC,PG,PG-MPL,Heiweni,AYHE,HNI,HWI,"146.4276, -7.4223"
AYHH,small_airport,Honinabi Airport,452.0,OC,PG,PG-WPD,Honinabi,AYHH,HNN,HBI,"142.1771, -16.2457"
AYHK,medium_airport,Kimbe Airport,66.0,OC,PG,PG-WBK,Hoskins,AYHK,HKN,,"150.40499877929688, -5.462170124053955"
AYHO,small_airport,Haivaro Airport,180.0,OC,PG,PG-GPK,Haivaro,AYHO,HIT,HWO,"143.059, -6.9406"
AYII,small_airport,Imane Airport,3860.0,OC,PG,PG-MPL,Imane,AYII,IMN,IMN,"146.1072, -6.7524"
AYIM,small_airport,Kungim Airport,349.0,OC,PG,PG-WPD,Kungim,AYIM,KGM,KNM,"141.03, -5.671"
AYIO,small_airport,Imonda Airport,990.0,OC,PG,PG-SAN,Imonda,AYIO,IMD,IMO,"141.1573, -3.328"
AYIU,small_airport,Ialibu Airport,6736.0,OC,PG,PG-SHM,Ialibu,AYIU,IAL,IBU,"143.9944, -6.2782"
AYIX,small_airport,Witu Airport,25.0,OC,PG,PG-WBK,Garove Island,AYIX,WIU,WITU,"149.440112, -4.689522"
AYJO,small_airport,Yongai Airport,6500.0,OC,PG,PG-CPM,Yongai,AYJO,KGH,YON,"147.4603, -8.5289"
AYKA,small_airport,Losuia Airport,27.0,OC,PG,PG-MBA,Losuia,AYKA,LSA,,"151.08099365234375, -8.505820274353027"
AYKG,small_airport,Kopiago Airport,4445.0,OC,PG,PG-HE,Kopiago,AYKG,KPA,KGO,"142.4977, -5.3883"
AYKI,small_airport,Kiunga Airport,88.0,OC,PG,PG-WPD,Kiunga,AYKI,UNG,,"141.28199768066406, -6.1257100105285645"
AYKJ,small_airport,Kanainj Airport,4064.0,OC,PG,PG-MPM,Kanainj,AYKJ,KNE,KNJ,"144.7072, -5.2903"
